Year,Total CAPEX,Total Renewal Cost,Total OPEX,Total Cost,Total Emissions
2025,-17638171097750.0,0.0,7935986375240.0,-9702184722510.0,231998030.42262
2026,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2027,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2028,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2029,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2030,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2031,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2032,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2033,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2034,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2035,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2036,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2037,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2038,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2039,0.0,0.0,7935986375240.0,7935986375240.0,231998030.42262
2040,20325285249180.0,0.0,4526671991300.0,24851957240480.0,29985169.1634
2041,0.0,0.0,4526671991300.0,4526671991300.0,29985169.1634
2042,0.0,0.0,4526671991300.0,4526671991300.0,29985169.16340001
2043,0.0,0.0,4526671991300.0,4526671991300.0,29985169.1634
2044,0.0,0.0,4526671991300.0,4526671991300.0,29985169.1634
2045,0.0,0.0,4526671991300.0,4526671991300.0,29985169.1634
2046,0.0,0.0,4526671991300.0,4526671991300.0,29985169.1634
2047,0.0,0.0,4526671991300.0,4526671991300.0,29985169.1634
2048,0.0,0.0,4526671991300.0,4526671991300.0,29985169.1634
2049,0.0,0.0,4526671991300.0,4526671991300.0,29985169.1634
2050,0.0,0.0,4526671991300.0,4526671991300.0,29985169.1634
