Year,Technology,Continue,Replace,Renew,Active
2025,BAT BF-BOF,1.0,0.0,0.0,1.0
2025,H2-DRI-EAF,0.0,0.0,0.0,0.0
2025,EAF,0.0,0.0,0.0,0.0
2026,BAT BF-BOF,1.0,0.0,0.0,1.0
2026,H2-DRI-EAF,0.0,0.0,0.0,0.0
2026,EAF,0.0,0.0,0.0,0.0
2027,BAT BF-BOF,1.0,0.0,0.0,1.0
2027,H2-DRI-EAF,0.0,0.0,0.0,0.0
2027,EAF,0.0,0.0,0.0,0.0
2028,BAT BF-BOF,1.0,0.0,0.0,1.0
2028,H2-DRI-EAF,0.0,0.0,0.0,0.0
2028,EAF,0.0,0.0,0.0,0.0
2029,BAT BF-BOF,1.0,0.0,0.0,1.0
2029,H2-DRI-EAF,0.0,0.0,0.0,0.0
2029,EAF,0.0,0.0,0.0,0.0
2030,BAT BF-BOF,1.0,0.0,0.0,1.0
2030,H2-DRI-EAF,0.0,0.0,0.0,0.0
2030,EAF,0.0,0.0,0.0,0.0
2031,BAT BF-BOF,1.0,0.0,0.0,1.0
2031,H2-DRI-EAF,0.0,0.0,0.0,0.0
2031,EAF,0.0,0.0,0.0,0.0
2032,BAT BF-BOF,1.0,0.0,0.0,1.0
2032,H2-DRI-EAF,0.0,0.0,0.0,0.0
2032,EAF,0.0,0.0,0.0,0.0
2033,BAT BF-BOF,1.0,0.0,0.0,1.0
2033,H2-DRI-EAF,0.0,0.0,0.0,0.0
2033,EAF,0.0,0.0,0.0,0.0
2034,BAT BF-BOF,1.0,0.0,0.0,1.0
2034,H2-DRI-EAF,0.0,0.0,0.0,0.0
2034,EAF,0.0,0.0,0.0,0.0
2035,BAT BF-BOF,1.0,0.0,0.0,1.0
2035,H2-DRI-EAF,0.0,0.0,0.0,0.0
2035,EAF,0.0,0.0,0.0,0.0
2036,BAT BF-BOF,1.0,0.0,0.0,1.0
2036,H2-DRI-EAF,0.0,0.0,0.0,0.0
2036,EAF,0.0,0.0,0.0,0.0
2037,BAT BF-BOF,1.0,0.0,0.0,1.0
2037,H2-DRI-EAF,0.0,0.0,0.0,0.0
2037,EAF,0.0,0.0,0.0,0.0
2038,BAT BF-BOF,1.0,0.0,0.0,1.0
2038,H2-DRI-EAF,0.0,0.0,0.0,0.0
2038,EAF,0.0,0.0,0.0,0.0
2039,BAT BF-BOF,1.0,0.0,0.0,1.0
2039,H2-DRI-EAF,0.0,0.0,0.0,0.0
2039,EAF,0.0,0.0,0.0,0.0
2040,BAT BF-BOF,0.0,0.0,0.0,0.0
2040,H2-DRI-EAF,0.0,0.0,0.0,0.0
2040,EAF,0.0,1.0,0.0,1.0
2041,BAT BF-BOF,0.0,0.0,0.0,0.0
2041,H2-DRI-EAF,0.0,0.0,0.0,0.0
2041,EAF,1.0,0.0,0.0,1.0
2042,BAT BF-BOF,0.0,0.0,0.0,0.0
2042,H2-DRI-EAF,0.0,0.0,0.0,0.0
2042,EAF,1.0,0.0,0.0,1.0
2043,BAT BF-BOF,0.0,0.0,0.0,0.0
2043,H2-DRI-EAF,0.0,0.0,0.0,0.0
2043,EAF,1.0,0.0,0.0,1.0
2044,BAT BF-BOF,0.0,0.0,0.0,0.0
2044,H2-DRI-EAF,0.0,0.0,0.0,0.0
2044,EAF,1.0,0.0,0.0,1.0
2045,BAT BF-BOF,0.0,0.0,0.0,0.0
2045,H2-DRI-EAF,0.0,0.0,0.0,0.0
2045,EAF,1.0,0.0,0.0,1.0
2046,BAT BF-BOF,0.0,0.0,0.0,0.0
2046,H2-DRI-EAF,0.0,0.0,0.0,0.0
2046,EAF,1.0,0.0,0.0,1.0
2047,BAT BF-BOF,0.0,0.0,0.0,0.0
2047,H2-DRI-EAF,0.0,0.0,0.0,0.0
2047,EAF,1.0,0.0,0.0,1.0
2048,BAT BF-BOF,0.0,0.0,0.0,0.0
2048,H2-DRI-EAF,0.0,0.0,0.0,0.0
2048,EAF,1.0,0.0,0.0,1.0
2049,BAT BF-BOF,0.0,0.0,0.0,0.0
2049,H2-DRI-EAF,0.0,0.0,0.0,0.0
2049,EAF,1.0,0.0,0.0,1.0
2050,BAT BF-BOF,0.0,0.0,0.0,0.0
2050,H2-DRI-EAF,0.0,0.0,0.0,0.0
2050,EAF,1.0,0.0,0.0,1.0
