Year,CAPEX,Renewal Cost,OPEX,Total Emissions
2025,160224000000.0,0.0,226955238400.0,6634735.2192
2026,0.0,0.0,226955238400.0,7227456.614399999
2027,0.0,0.0,226955238400.0,7227456.614399999
2028,0.0,0.0,226955238400.0,7227456.614399999
2029,0.0,0.0,226955238400.0,7227456.614399999
2030,0.0,539006592000.0,226955238400.0,7227456.614399999
2031,0.0,0.0,226955238400.0,7227456.614399999
2032,0.0,0.0,226955238400.0,7227456.614399999
2033,0.0,0.0,226955238400.0,7227456.614399999
2034,0.0,0.0,226955238400.0,7227456.614399999
2035,0.0,0.0,226955238400.0,7227456.614399999
2036,0.0,0.0,226955238400.0,7227456.614399999
2037,0.0,0.0,226955238400.0,7227456.614399999
2038,0.0,0.0,226955238400.0,7227456.614399999
2039,0.0,0.0,226955238400.0,7227456.614399999
2040,0.0,0.0,226955238400.0,7227456.614399999
2041,0.0,0.0,226955238400.0,7227456.614399999
2042,0.0,0.0,226955238400.0,7227456.614399999
2043,0.0,0.0,226955238400.0,7227456.614399999
2044,0.0,0.0,226955238400.0,7227456.614399999
2045,0.0,0.0,226955238400.0,7227456.614399999
2046,0.0,0.0,226955238400.0,7227456.614399999
2047,0.0,0.0,226955238400.0,7227456.614399999
2048,0.0,0.0,226955238400.0,7227456.614399999
2049,0.0,0.0,226955238400.0,7227456.614399999
2050,512000000000.0,0.0,110177574400.0,1472281.5360000029
